VOTER,SINGER,SCORE,,,,,,,,
Albania,Albania,-1,-1,,,-1,albania,albania,-1,"""albania"": {""albania"":-1,},"
Albania,Slovakia,-1,-1,,sweden: {,,albania,slovakia,-1,"""albania"": {""slovakia"":-1,},"
Albania,Armenia,0,0,,"    ""france"": 5,",,albania,armenia,0,"""albania"": {""armenia"":0.3,},"
Albania,Austria,2,2,,"  },",,albania,austria,2,"""albania"": {""austria"":1.7,},"
Albania,Azerbaijan,3,3,,,,albania,azerbaijan,3,"""albania"": {""azerbaijan"":3.3,},"
Albania,Belarus,1,1,,,,albania,belarus,1,"""albania"": {""belarus"":0.5,},"
Albania,Belgium,0,0,,,,albania,belgium,0,"""albania"": {""belgium"":0,},"
Albania,Bosnia & Herzegovina,5,5,,,,albania,bosnia & herzegovina,5,"""albania"": {""bosnia & herzegovina"":5.3,},"
Albania,Bulgaria,0,0,,,,albania,bulgaria,0,"""albania"": {""bulgaria"":0,},"
Albania,Croatia,0,0,,,,albania,croatia,0,"""albania"": {""croatia"":0.4,},"
Albania,Cyprus,3,3,,,,albania,cyprus,3,"""albania"": {""cyprus"":3.3,},"
Albania,Denmark,0,0,,,,albania,denmark,0,"""albania"": {""denmark"":0.3,},"
Albania,Estonia,0,0,,,,albania,estonia,0,"""albania"": {""estonia"":0,},"
Albania,F.Y.R. Macedonia,6,6,,,,albania,f.y.r. macedonia,6,"""albania"": {""f.y.r. macedonia"":6,},"
Albania,Finland,0,0,,,,albania,finland,0,"""albania"": {""finland"":0,},"
Albania,France,1,1,,,,albania,france,1,"""albania"": {""france"":0.9,},"
Albania,Georgia,0,0,,,,albania,georgia,0,"""albania"": {""georgia"":0,},"
Albania,Germany,3,3,,,,albania,germany,3,"""albania"": {""germany"":3.2,},"
Albania,Greece,10,10,,,,albania,greece,10,"""albania"": {""greece"":9.9,},"
Albania,Hungary,3,3,,,,albania,hungary,3,"""albania"": {""hungary"":2.7,},"
Albania,Iceland,1,1,,,,albania,iceland,1,"""albania"": {""iceland"":0.8,},"
Albania,Ireland,1,1,,,,albania,ireland,1,"""albania"": {""ireland"":0.7,},"
Albania,Israel,2,2,,,,albania,israel,2,"""albania"": {""israel"":2.2,},"
Albania,Italy,10,10,,,,albania,italy,10,"""albania"": {""italy"":10.3,},"
Albania,Latvia,0,0,,,,albania,latvia,0,"""albania"": {""latvia"":0,},"
Albania,Lithuania,0,0,,,,albania,lithuania,0,"""albania"": {""lithuania"":0,},"
Albania,Malta,1,1,,,,albania,malta,1,"""albania"": {""malta"":1.3,},"
Albania,Moldova,0,0,,,,albania,moldova,0,"""albania"": {""moldova"":0,},"
Albania,Montenegro,6,6,,,,albania,montenegro,6,"""albania"": {""montenegro"":6,},"
Albania,Norway,2,2,,,,albania,norway,2,"""albania"": {""norway"":1.8,},"
Albania,Poland,0,0,,,,albania,poland,0,"""albania"": {""poland"":0,},"
Albania,Portugal,0,0,,,,albania,portugal,0,"""albania"": {""portugal"":0,},"
Albania,Romania,2,2,,,,albania,romania,2,"""albania"": {""romania"":1.5,},"
Albania,Russia,2,2,,,,albania,russia,2,"""albania"": {""russia"":1.5,},"
Albania,San Marino,3,3,,,,albania,san marino,3,"""albania"": {""san marino"":3,},"
Albania,Serbia,3,3,,,,albania,serbia,3,"""albania"": {""serbia"":3.4,},"
Albania,Slovenia,0,0,,,,albania,slovenia,0,"""albania"": {""slovenia"":0,},"
Albania,Spain,4,5,,,,albania,spain,5,"""albania"": {""spain"":4.5,},"
Albania,Sweden,3,3,,,,albania,sweden,3,"""albania"": {""sweden"":3,},"
Albania,Switzerland,0,0,,,,albania,switzerland,0,"""albania"": {""switzerland"":0,},"
Albania,The Netherlands,1,1,,,,albania,the netherlands,1,"""albania"": {""the netherlands"":1.3,},"
Albania,Turkey,9,9,,,,albania,turkey,9,"""albania"": {""turkey"":8.9,},"
Albania,U.K.,1,1,,,,albania,u.k.,1,"""albania"": {""u.k."":1.4,},"
Albania,Ukraine,1,2,,,,albania,ukraine,2,"""albania"": {""ukraine"":1.5,},"
Andorra,Italy,-1,-1,,,,andorra,italy,-1,"""andorra"": {""italy"":-1,},"
Andorra,Montenegro,-1,-1,,,,andorra,montenegro,-1,"""andorra"": {""montenegro"":-1,},"
Andorra,San Marino,-1,-1,,,,andorra,san marino,-1,"""andorra"": {""san marino"":-1,},"
Andorra,Slovakia,-1,-1,,,,andorra,slovakia,-1,"""andorra"": {""slovakia"":-1,},"
Andorra,Albania,0,0,,,,andorra,albania,0,"""andorra"": {""albania"":0,},"
Andorra,Armenia,0,0,,,,andorra,armenia,0,"""andorra"": {""armenia"":0,},"
Andorra,Austria,0,0,,,,andorra,austria,0,"""andorra"": {""austria"":0,},"
Andorra,Azerbaijan,4,4,,,,andorra,azerbaijan,4,"""andorra"": {""azerbaijan"":3.5,},"
Andorra,Belarus,0,0,,,,andorra,belarus,0,"""andorra"": {""belarus"":0,},"
Andorra,Belgium,1,1,,,,andorra,belgium,1,"""andorra"": {""belgium"":1,},"
Andorra,Bosnia & Herzegovina,0,0,,,,andorra,bosnia & herzegovina,0,"""andorra"": {""bosnia & herzegovina"":0,},"
Andorra,Bulgaria,0,0,,,,andorra,bulgaria,0,"""andorra"": {""bulgaria"":0,},"
Andorra,Croatia,0,0,,,,andorra,croatia,0,"""andorra"": {""croatia"":0,},"
Andorra,Cyprus,2,2,,,,andorra,cyprus,2,"""andorra"": {""cyprus"":2,},"
Andorra,Denmark,2,2,,,,andorra,denmark,2,"""andorra"": {""denmark"":2,},"
Andorra,Estonia,0,0,,,,andorra,estonia,0,"""andorra"": {""estonia"":0,},"
Andorra,F.Y.R. Macedonia,0,0,,,,andorra,f.y.r. macedonia,0,"""andorra"": {""f.y.r. macedonia"":0,},"
Andorra,Finland,5,5,,,,andorra,finland,5,"""andorra"": {""finland"":5.3,},"
Andorra,France,4,4,,,,andorra,france,4,"""andorra"": {""france"":4.3,},"
Andorra,Georgia,0,0,,,,andorra,georgia,0,"""andorra"": {""georgia"":0,},"
Andorra,Germany,1,1,,,,andorra,germany,1,"""andorra"": {""germany"":0.8,},"
Andorra,Greece,4,4,,,,andorra,greece,4,"""andorra"": {""greece"":3.5,},"
Andorra,Hungary,6,6,,,,andorra,hungary,6,"""andorra"": {""hungary"":6,},"
Andorra,Iceland,3,3,,,,andorra,iceland,3,"""andorra"": {""iceland"":2.7,},"
Andorra,Ireland,1,1,,,,andorra,ireland,1,"""andorra"": {""ireland"":1.3,},"
Andorra,Israel,4,4,,,,andorra,israel,4,"""andorra"": {""israel"":3.8,},"
Andorra,Latvia,3,3,,,,andorra,latvia,3,"""andorra"": {""latvia"":3,},"
Andorra,Lithuania,3,3,,,,andorra,lithuania,3,"""andorra"": {""lithuania"":2.7,},"
Andorra,Malta,2,2,,,,andorra,malta,2,"""andorra"": {""malta"":1.8,},"
Andorra,Moldova,1,1,,,,andorra,moldova,1,"""andorra"": {""moldova"":1,},"
